Precinct,Registered,Ahern Difference,Total Ahern,Ahern Percentage,Total Write-In,Write-in Percentage
441300,821,190,204,94,14,6
441400,1036,226,236,96,10,4
442100,1740,404,410,99,6,1
442600,636,143,146,98,3,2
442700,990,186,194,96,8,4
443000,1080,203,214,95,11,5
443100,1064,204,212,96,8,4
443200,796,110,119,93,9,7
443300,961,153,160,96,7,4
443400,1317,238,248,96,10,4
443500,931,157,163,96,6,4
447200,1617,360,373,97,13,3
447600,922,213,222,96,9,4
450300,971,247,252,98,5,2
450400,1680,369,379,97,10,3
450610,939,280,287,98,7,2
450800,1078,227,233,97,6,3
451000,1444,334,341,98,7,2
451510,1328,256,266,96,10,4
451600,1231,300,308,97,8,3
451700,1003,248,253,98,5,2
452100,1192,241,253,95,12,5
452200,1646,403,412,98,9,2
452400,1091,229,239,96,10,4
452500,823,169,173,98,4,2
453100,1026,282,291,97,9,3
453300,732,154,158,98,4,2
453400,1006,209,213,98,4,2
453500,1360,293,302,97,9,3
453900,1291,287,303,95,16,5
453920,851,122,125,98,3,2
454100,1095,235,242,97,7,3
454500,886,217,227,96,10,4
455000,579,96,98,98,2,2
455100,752,139,147,95,8,5
455300,943,221,230,96,9,4
455400,994,237,248,96,11,4
455500,580,153,159,96,6,4
455700,535,184,187,98,3,2
455900,1607,384,400,96,16,4
456200,1063,256,263,97,7,3
456500,725,246,255,97,9,3
456600,1075,317,331,96,14,4
456900,683,243,252,97,9,3
457100,817,234,242,97,8,3
457300,949,256,268,96,12,4
457400,771,236,260,92,24,8
457500,1249,333,357,94,24,6
457700,928,275,289,95,14,5
457900,803,194,204,95,10,5
458200,1094,258,271,95,13,5
458300,1292,310,319,97,9,3
458500,786,187,193,97,6,3
458800,1047,167,177,95,10,5
458900,728,130,134,97,4,3
470400,1205,325,337,97,12,3
470600,915,272,276,99,4,1
470900,1237,303,309,98,6,2
471300,908,228,234,98,6,3
471800,898,237,248,96,11,4
471900,944,258,267,97,9,3
472000,1152,365,375,97,10,3
472200,1340,272,282,97,10,3
472300,877,211,221,96,10,4
472400,1058,351,359,98,8,2
472500,1232,398,409,97,11,3
473300,1289,421,425,99,4,1
473400,972,310,319,97,9,3
473500,1258,394,407,97,13,3
473600,507,139,146,95,7,5
473800,1177,359,367,98,8,2
473900,1178,438,440,100,2,0
474010,894,273,282,97,9,3
474020,1273,387,396,98,9,2
474300,942,285,286,100,1,0
474500,1278,326,333,98,7,2
474600,810,213,220,97,7,3
474700,659,165,170,97,5,3
474900,1392,312,325,96,13,4
475000,1471,503,512,98,9,2
475200,1114,291,294,99,3,1
475500,994,271,277,98,6,2
475520,921,261,269,97,8,3
475540,1012,252,259,97,7,3
476100,1176,322,331,97,9,3
476110,945,228,231,99,3,1
481200,1731,324,342,95,18,5
481410,557,115,120,96,5,4
481500,1011,193,197,98,4,2
481800,1294,249,257,97,8,3
483000,749,127,133,96,6,4
491000,939,208,210,99,2,1
491100,1539,388,402,97,14,3
491200,1465,376,392,96,16,4
491300,1475,393,406,97,13,3
491500,833,277,280,99,3,1
500100,1380,338,341,99,3,1
500110,1277,301,307,98,6,2
500130,1285,261,270,97,9,3
500140,1298,351,353,99,2,1
500200,998,215,225,96,10,4
500210,813,190,195,98,5,3
500230,1379,364,377,97,13,3
500300,909,198,198,100,0,0
500310,1292,393,403,98,10,2
500320,824,212,215,99,3,1
500340,759,248,258,96,10,4
500400,1555,487,493,99,6,1
500410,1442,378,382,99,4,1
500500,1095,360,366,98,6,2
500600,838,263,269,98,6,2
500700,1276,276,289,96,13,4
500910,698,170,176,97,6,3
501000,1096,234,241,97,7,3
501200,752,221,225,98,4,2
501300,951,319,323,99,4,1
501400,1320,353,359,98,6,2
501410,836,234,236,99,2,1
501600,1313,381,386,99,5,1
501610,1338,431,434,99,3,1
501620,926,246,253,97,7,3
501630,1052,341,343,99,2,1
501640,1079,330,334,99,4,1
501800,957,232,237,98,5,2
501830,1132,363,366,99,3,1
501840,946,298,300,99,2,1
501910,954,300,306,98,6,2
502000,791,236,245,96,9,4
502010,633,230,230,100,0,0
502020,1503,449,454,99,5,1
502030,643,202,204,99,2,1
502100,929,223,227,98,4,2
502200,771,246,256,96,10,4
502210,835,191,193,99,2,1
502220,1281,386,392,98,6,2
502400,880,224,229,98,5,2
502410,683,160,161,99,1,1
502500,880,194,205,95,11,5
502600,1125,184,196,94,12,6
502710,807,205,207,99,2,1
502720,951,279,284,98,5,2
502740,1019,258,261,99,3,1
502800,834,217,223,97,6,3
502900,972,297,308,97,11,3
502920,1190,274,282,97,8,3
520110,806,262,264,99,2,1
520210,937,279,285,98,6,2
520220,1088,327,330,99,3,1
520230,1130,387,391,99,4,1
520240,1431,290,298,97,8,3
520300,1218,310,316,98,6,2
520310,648,171,173,99,2,1
520320,873,275,277,99,2,1
520400,1170,321,326,98,5,2
520420,1116,271,272,100,1,0
520500,756,222,222,100,0,0
520600,1512,331,337,98,6,2
520610,838,230,234,98,4,2
520630,809,196,205,96,9,4
520700,1505,323,333,97,10,3
520710,822,203,209,97,6,3
520810,711,206,210,98,4,2
520820,1204,330,333,99,3,1
520840,1200,366,372,98,6,2
520860,1187,226,234,97,8,3
520870,905,253,260,97,7,3
521100,1432,387,394,98,7,2
521110,937,278,282,99,4,1
521300,1098,318,320,99,2,1
521500,1009,204,212,96,8,4
522000,775,210,215,98,5,2
522020,894,258,260,99,2,1
522110,1535,511,519,98,8,2
522120,1187,380,392,97,12,3
522130,854,219,224,98,5,2
522140,679,153,161,95,8,5
522150,1459,444,448,99,4,1
522200,627,178,182,98,4,2
522400,621,203,205,99,2,1
523100,514,121,123,98,2,2
523110,1540,431,435,99,4,1
523120,698,366,369,99,3,1
523300,1572,444,451,98,7,2
523700,865,228,231,99,3,1
523710,755,198,199,100,1,1
523720,836,264,264,100,0,0
523800,777,279,284,98,5,2
540100,1414,430,433,99,3,1
540300,848,227,236,96,9,4
540400,656,164,168,98,4,2
540510,1407,343,350,98,7,2
540610,1369,368,378,97,10,3
540800,1443,341,349,98,8,2
541100,1179,317,327,97,10,3
542100,1028,281,284,99,3,1
542200,955,253,261,97,8,3
543000,1590,440,445,99,5,1
544000,1193,258,268,96,10,4
545500,1306,290,298,97,8,3
546000,765,169,171,99,2,1
546100,1341,272,279,98,7,2
546200,1056,171,179,96,8,4
546700,473,100,100,100,0,0
547740,1429,282,288,98,6,2
547750,1433,276,282,98,6,2
547760,1058,234,240,98,6,2
547790,1016,214,218,98,4,2
547800,1658,334,336,99,2,1
547900,1457,296,306,97,10,3
547920,1035,213,219,97,6,3
821100,1383,316,323,98,7,2
821110,953,196,198,99,2,1
821140,950,205,211,97,6,3
821200,1382,252,258,98,6,2
821210,1518,327,338,97,11,3
821400,863,235,242,97,7,3
821500,995,239,245,98,6,2
821600,1052,203,208,98,5,2
821710,796,245,250,98,5,2
821730,1565,356,364,98,8,2
821800,1085,180,194,93,14,7
821810,746,131,135,97,4,3
821900,1072,216,223,97,7,3
821910,788,191,191,100,0,0
822000,1257,259,262,99,3,1
822010,1356,268,275,98,7,2
822200,967,205,206,100,1,0
823000,1051,177,182,97,5,3
823100,1028,171,188,92,17,8
823200,1696,311,323,96,12,4
823400,1017,198,201,99,3,1
823500,792,158,161,98,3,2
823510,1045,261,267,98,6,2
823600,1428,311,320,97,9,3
823610,776,171,179,96,8,4
823700,1459,301,311,97,10,3
823710,729,115,122,95,7,5
823720,932,163,167,98,4,2
823730,1431,277,284,98,7,2
823800,1277,288,289,100,1,0
823810,976,203,209,97,6,3
823900,828,190,192,99,2,1
830100,655,133,139,96,6,4
830200,1444,348,353,99,5,1
830210,1411,255,258,99,3,1
830300,1503,292,299,98,7,2
830500,1730,345,354,98,9,2
830700,1274,231,233,99,2,1
831000,895,241,246,98,5,2
831100,852,151,155,97,4,3
831200,1130,269,275,98,6,2
831210,693,156,161,97,5,3
831230,970,204,211,97,7,3
831300,1397,343,356,96,13,4
831400,785,187,191,98,4,2
831410,960,203,206,99,3,1
831500,1350,383,389,98,6,2
831510,780,207,213,97,6,3
831600,1203,305,309,99,4,1
831700,603,120,122,98,2,2
831710,919,213,223,96,10,4
831810,1411,354,364,97,10,3
831830,974,257,261,98,4,2
831900,1367,332,342,97,10,3
831920,1507,296,303,98,7,2
832000,1299,260,270,96,10,4
832010,979,196,203,97,7,3
832200,1534,376,389,97,13,3
832210,1063,224,236,95,12,5
832300,1249,318,325,98,7,2
832400,740,181,184,98,3,2
832500,1221,359,365,98,6,2
832510,521,117,121,97,4,3
832600,882,210,223,94,13,6
832620,1076,223,231,97,8,3
832800,1254,301,307,98,6,2
832810,738,176,178,99,2,1
832900,1547,348,367,95,19,5
833000,1642,330,347,95,17,5
833100,1370,338,346,98,8,2
833200,1115,242,244,99,2,1
833210,811,218,224,97,6,3
833300,788,177,181,98,4,2
833310,724,162,168,97,6,3
833400,903,219,228,96,9,4
833410,1007,225,232,97,7,3
833500,1609,385,398,97,13,3
833610,1286,273,285,96,12,4
833700,1304,270,281,96,11,4
833710,1384,324,336,97,12,3
834000,1394,368,376,98,8,2
834200,1528,429,436,98,7,2
834400,1055,311,321,97,10,3
834600,1060,324,331,98,7,2
834700,1487,321,328,98,7,2
835000,1078,260,265,98,5,2
835040,1117,294,298,99,4,1
835100,1101,268,272,99,4,1
835300,981,209,213,98,4,2
835310,1469,292,300,97,8,3
835600,745,160,165,97,5,3
835610,679,155,165,94,10,6
835730,980,220,230,96,10,4
835800,1438,291,306,95,15,5
835820,1429,305,307,99,2,1
835910,1369,269,287,94,18,6
836000,1192,287,292,98,5,2
836110,1443,374,383,98,9,2
836200,1539,366,380,96,14,4
836210,1005,200,205,98,5,2
836400,888,220,228,97,8,3
836500,930,199,203,98,4,2
836600,1433,340,344,99,4,1
836700,426,106,107,99,1,1
837100,1640,420,426,99,6,1
837200,650,133,142,94,9,6
837300,1325,298,310,96,12,4
837400,1137,237,241,98,4,2
837500,869,180,186,97,6,3
837600,1136,251,255,98,4,2
837700,1090,280,282,99,2,1
837710,686,139,139,100,0,0
837800,736,168,169,99,1,1
837900,585,126,135,94,9,6
838000,1432,346,360,96,14,4
838110,1570,282,294,96,12,4
838300,1232,274,285,96,11,4
838500,1624,384,392,98,8,2
838600,1109,216,218,99,2,1
838700,1123,229,230,100,1,0
839530,997,173,176,98,3,2
850300,1704,381,389,98,8,2
850320,582,137,145,95,8,5
850330,893,202,209,97,7,3
850400,697,170,174,98,4,2
850410,855,201,206,98,5,2
850500,1240,279,287,97,8,3
850600,1392,239,241,99,2,1
850800,1016,169,176,96,7,4
850810,940,185,190,97,5,3
850900,955,237,241,98,4,2
851000,1063,247,256,97,9,3
851200,821,185,189,98,4,2
851300,841,199,201,99,2,1
851500,743,221,225,98,4,2
851510,666,188,189,99,1,1
851520,793,208,212,98,4,2
851600,1227,271,276,98,5,2
851700,1499,339,350,97,11,3
851800,911,243,247,98,4,2
852010,969,221,224,99,3,1
852100,1508,288,298,97,10,3
866800,501,140,143,98,3,2
9205510,173,46,52,90,6,10
9205550,219,54,61,90,7,10
9207630,132,15,18,86,3,14
9207640,191,18,21,88,3,13
9209910,8,1,1,100,0,0
9213000,395,131,134,98,3,2
9215630,258,43,45,96,2,4
9215810,107,24,25,96,1,4
9223100,321,94,105,91,11,9
9223110,123,31,36,88,5,12
9224300,210,48,52,93,4,7
9224420,55,10,12,86,2,14
9224440,60,14,16,89,2,11
9224810,285,65,77,87,12,13
9224910,184,64,69,93,5,7
9225500,132,31,31,100,0,0
9244910,128,39,41,95,2,5
9323400,0,0,0,0,0,0
9325000,370,69,70,99,1,1
9333300,106,15,16,94,1,6
9333420,1,0,0,0,0,0
9333910,134,26,32,84,6,16
9333920,89,20,20,100,0,0
9333930,411,77,91,87,14,13
9334510,15,1,1,100,0,0
9335110,240,48,50,96,2,4
9335600,288,28,32,89,4,11
9335800,300,76,84,91,8,9
9335910,131,19,24,83,5,17
9336300,35,12,12,100,0,0
9336810,66,22,22,100,0,0
9344020,135,40,40,100,0,0
9345710,106,36,39,93,3,7
9347210,187,41,42,98,1,2
9347220,104,7,7,100,0,0
9355210,281,56,62,91,6,9
9355220,102,16,19,86,3,14
9360900,27,4,4,100,0,0
9361100,28,4,4,100,0,0
9361210,0,0,0,0,0,0
9361400,83,11,11,100,0,0
9362000,406,41,44,94,3,6
9364020,9,3,3,100,0,0
9364030,1,0,0,0,0,0
9364210,6,4,4,100,0,0
9364320,11,3,4,80,1,20
9364330,29,12,12,100,0,0
9373000,0,0,0,0,0,0
9373010,0,0,0,0,0,0
9373020,0,0,0,0,0,0
9373030,0,0,0,0,0,0
9394000,6,2,2,100,0,0
9394100,2,0,0,0,0,0
9394200,3,0,0,0,0,0
9416220,0,0,0,0,0,0
9420010,0,0,0,0,0,0
9420020,0,0,0,0,0,0
9420030,114,34,34,100,0,0
9420040,108,24,24,100,0,0
9420050,214,45,48,94,3,6
9420200,305,32,36,90,4,10
9420210,248,38,39,98,1,3
9420220,18,8,8,100,0,0
9420230,350,55,56,98,1,2
9420240,0,0,0,0,0,0
9420250,362,56,60,94,4,6
9420300,188,54,58,94,4,6
9420310,53,3,6,67,3,33
9420320,1,0,0,0,0,0
9420510,0,0,0,0,0,0
9420610,2,2,2,100,0,0
9420800,327,69,72,96,3,4
9422930,375,80,81,99,1,1
9422940,0,0,0,0,0,0
9422950,0,0,0,0,0,0
9423620,0,0,0,0,0,0
9423700,0,0,0,0,0,0
